title,description,link,pubDate
Live: Two-judge bench to hear Pilot camp's amended petition today,"The Congress has made several overtures to Sachin Pilot, indicating that the party is keen to keep him within the fold. On Thursday, Pilot and other rebel MLAs moved Rajasthan HC, challenging the Assembly Speaker's disqualification notice. Stay with TOI for all the updates",https://timesofindia.indiatimes.com/india/rajasthan-political-crisis-live-updates/liveblog/76969957.cms,"Wed, 15 Jul 2020 06:06:20 IST"
'PM taking inputs from top officials on economy',"Prime Minister Modi is meeting top officials of the finance and commerce ministries later on Thursday to assess the impact of ongoing COVID-19 pandemic on the national economy, official sources said. According to sources, the Prime Minister is taking inputs from top 50 officials. They said the Prime Minister's focus will be on speedy recovery of the economy.",https://timesofindia.indiatimes.com/business/india-business/pm-modi-taking-inputs-from-top-50-officials-to-revive-economy-sources/articleshow/76997584.cms,"Thu, 16 Jul 2020 15:50:35 IST"
"‘More flights, lower fares to & from west soon’","There will soon be more flights — at lower fares — to the US, UK and some EU nations. India has established ""air bubbles"" with the US, France and Germany and is in ""advanced stage talks"" with the UK for the same, the aviation ministry said on Thursday. Air India has decided to lower fares of its Vande Bharat Mission flights to these countries.",https://timesofindia.indiatimes.com/business/india-business/more-flights-lower-fares-to-and-from-west-soon/articleshow/76999429.cms,"Thu, 16 Jul 2020 16:57:46 IST"
Live: No postal ballot facility for those above 65,Stay here for real-time updates on breaking news from India and across the world that you can't miss:,https://timesofindia.indiatimes.com/india/breaking-news-live-july-16/liveblog/76990537.cms,"Thu, 16 Jul 2020 07:42:59 IST"
Kerala gold smuggling case: IAS officer suspended,,https://timesofindia.indiatimes.com/india/kerala-gold-smuggling-case-senior-ias-officer-suspended/articleshow/77002895.cms,"Thu, 16 Jul 2020 19:36:01 IST"
2nd Test Live: Sibley and Root steady England,"Check live cricket score, scorecard and ball-by-ball commentary of 2nd Test match between England and West Indies on Times of India",https://timesofindia.indiatimes.com/sports/cricket/west-indies-in-england/live-cricket-score-england-vs-west-indies-2nd-test-day-1-manchester/articleshow/76995591.cms,"Thu, 16 Jul 2020 19:36:28 IST"
Part of building crashes in south Mumbai,"A portion of the Bhanushali building on Mint Road in Fort area collapsed during heavy rain. Following the incident, fire brigade personnel and members of disaster management team rushed to the spot and started removing debris to locate missing people. ",https://timesofindia.indiatimes.com/city/mumbai/part-of-old-building-collapses-in-south-mumbai-none-hurt/articleshow/77000721.cms,"Thu, 16 Jul 2020 18:06:39 IST"
'Will comment after report from officials on Jadhav',,https://timesofindia.indiatimes.com/india/will-comment-after-getting-report-from-officials-who-met-kulbhushan-jadhav-mea/articleshow/77002838.cms,"Thu, 16 Jul 2020 19:31:08 IST"
Disengagement process needs verification: Army,"The process of complete disengagement of troops in eastern Ladakh is ""intricate"" and requires constant verification, the Indian Army said on Thursday after the fourth round of marathon military talks between India and China. ​​The army said senior commanders of the Indian and Chinese military reviewed the progress on implementation of the first phase of disengagement and discussed further steps to ensure complete withdrawal of troops in the region.",https://timesofindia.indiatimes.com/india/complete-disengagement-process-in-eastern-ladakh-intricate-needs-constant-verification-indian-army-after-sino-india-military-talks/articleshow/76996233.cms,"Thu, 16 Jul 2020 14:07:03 IST"
BB 13's Koena Mitra files FIR against imposter,"Actress Koena Mitra, who created quite a stir pertaining to her headstrong personality in the Bigg Boss 13 house and is quite vocal about her thoughts, has filed a police complaint against an imposter who's running an Instagram account under her name.",https://timesofindia.indiatimes.com/tv/news/hindi/exclusive-bigg-boss-13s-koena-mitra-files-an-fir-against-an-imposter-running-a-fake-account-under-her-name/articleshow/77000448.cms,"Thu, 16 Jul 2020 17:55:52 IST"
